"id","jel"
"aer_102_4_4","C"
"aer_102_5_1","C"
"aer_102_5_9","C"
"aer_102_6_13","C"
"aer_102_7_17","C"
"aer_102_7_18","C"
"aer_102_7_7","C"
"aer_102_7_8","C"
"aer_102_7_9","C"
"aer_103_1_14","C"
"aer_103_1_18","C"
"aer_103_1_3","C"
"aer_103_1_5","C"
"aer_103_2_2","C"
"aer_103_2_4","C"
"aer_103_3_100","C"
"aer_103_3_16","C"
"aer_103_3_22","C"
"aer_103_3_95","C"
"aer_103_3_96","C"
"aer_103_3_97","C"
"aer_103_3_98","C"
"aer_103_4_2","C"
"aer_103_4_5","C"
"aer_103_4_7","C"
"aer_103_5_18","C"
"aer_103_6_12","C"
"aer_103_6_9","C"
"aer_103_7_12","C"
"aer_103_7_16","C"
"aer_104_1_10","C"
"aer_104_1_8","C"
"aer_104_10_1","C"
"aer_104_10_10","C"
"aer_104_12_12","C"
"aer_104_12_7","C"
"aer_104_2_10","C"
"aer_104_3_12","C"
"aer_104_3_13","C"
"aer_104_3_6","C"
"aer_104_5_22","C"
"aer_104_5_29","C"
"aer_104_5_33","C"
"aer_104_5_36","C"
"aer_104_5_49","C"
"aer_104_5_53","C"
"aer_104_5_73","C"
"aer_104_5_74","C"
"aer_104_6_11","C"
"aer_104_6_14","C"
"aer_104_6_8","C"
"aer_104_6_9","C"
"aer_104_7_11","C"
"aer_104_9_4","C"
"aer_105_1_12","C"
"aer_105_1_3","C"
"aer_105_1_6","C"
"aer_96_3_6","C"
"aer_96_5_17","C"
"aer_97_1_11","C"
"aer_97_3_11","C"
"aer_97_3_13","C"
"aer_97_3_23","C"
"aer_97_5_13","C"
"aer_97_5_7","C"
"aer_97_5_8","C"
"aer_98_1_10","C"
"aer_98_1_2","C"
"aer_98_1_6","C"
"aer_98_2_40","C"
"aer_98_2_41","C"
"aer_98_2_57","C"
"aer_98_2_58","C"
"aer_98_2_59","C"
"aer_98_3_15","C"
"aer_98_3_27","C"
"aer_98_4_18","C"
"aer_98_4_2","C"
"aer_98_4_24","C"
"aer_98_4_3","C"
"aer_98_4_9","C"
"aer_99_1_16","C"
"aer_99_2_17","C"
"aer_99_2_76","C"
"aer_99_3_12","C"
"aer_99_3_16","C"
"aer_99_3_17","C"
"aer_99_3_3","C"
"aer_99_4_10","C"
"aer_99_4_13","C"
"aer_99_4_15","C"
"aer_99_4_21","C"
"aer_99_4_22","C"
"aer_99_4_3","C"
"aer_99_4_4","C"
"aer_99_5_11","C"
"aer_99_5_14","C"
"aer_99_5_29","C"
"aer_99_5_7","C"
"jep_28_2_1","C"
"jep_28_2_2","C"
"jep_28_2_3","C"
"jep_28_2_4","C"
"restud_79_1_11","C"
"restud_79_1_3","C"
